ROW_NUM,YM,CTRD_NM,CTRD_CODE,LVSTCKSPC_NM,LVSTCKSPC_CODE,THSMON,THSMON_ACMTL
13507,202510,제주,6500000,돼지,LBI1000006,66824,66824
13506,202510,경남,6480000,닭,LBI1000088,435313,435313
13505,202510,경남,6480000,산양,LBI1000087,977,977
13504,202510,경남,6480000,소,LBI1000080,9660,9660
13503,202510,경남,6480000,돼지,LBI1000006,170155,170155
13502,202510,경북,6470000,닭,LBI1000088,6697171,6697171
13501,202510,경북,6470000,산양,LBI1000087,679,679
13500,202510,경북,6470000,소,LBI1000080,7275,7275
13499,202510,경북,6470000,말,LBI1000007,2,2
13498,202510,경북,6470000,돼지,LBI1000006,98208,98208
13497,202510,전남,6460000,닭,LBI1000088,3535174,3535174
13495,202510,전남,6460000,면양,LBI1000086,28,28
13494,202510,전남,6460000,소,LBI1000080,6449,6449
13493,202510,전남,6460000,오리,LBI1000016,3775105,3775105
13492,202510,전남,6460000,돼지,LBI1000006,140898,140898
13491,202510,전북,6450000,닭,LBI1000088,37000980,37000980
13490,202510,전북,6450000,산양,LBI1000087,27,27
13489,202510,전북,6450000,소,LBI1000080,937,937
13488,202510,전북,6450000,오리,LBI1000016,1020862,1020862
13486,202510,충남,6440000,닭,LBI1000088,13154945,13154945
13485,202510,충남,6440000,산양,LBI1000087,1647,1647
13484,202510,충남,6440000,소,LBI1000080,7386,7386
13496,202510,전남,6460000,산양,LBI1000087,2673,2673
13470,202510,경기,6410000,당나귀,LBI1000023,2,2
13331,202509,제주,6500000,소,LBI1000080,812,1253
13300,202509,충북,6430000,면양,LBI1000086,2,2
13298,202509,충북,6430000,사슴,LBI1000017,1,1
13297,202509,충북,6430000,오리,LBI1000016,890970,1730524
13296,202509,충북,6430000,돼지,LBI1000006,230563,418076
13295,202509,강원,6420000,닭,LBI1000088,1738424,3241616
13294,202509,강원,6420000,산양,LBI1000087,648,1167
13293,202509,강원,6420000,소,LBI1000080,4991,7683
13292,202509,강원,6420000,돼지,LBI1000006,40354,76951
13291,202509,경기,6410000,닭,LBI1000088,11841706,23205532
13290,202509,경기,6410000,소,LBI1000080,32919,51777
13289,202509,경기,6410000,말,LBI1000007,34,60
13288,202509,경기,6410000,돼지,LBI1000006,219148,402878
13287,202509,울산,6310000,산양,LBI1000087,39,98
13285,202509,울산,6310000,돼지,LBI1000006,9357,18083
13284,202509,대전,6300000,소,LBI1000080,1153,1675
13283,202509,대전,6300000,돼지,LBI1000006,18294,34309
13282,202509,광주,6290000,소,LBI1000080,1860,3324
13281,202509,광주,6290000,돼지,LBI1000006,44315,80024
13280,202509,인천,6280000,닭,LBI1000088,874438,1814354
13279,202509,인천,6280000,소,LBI1000080,2250,3534
13278,202509,인천,6280000,돼지,LBI1000006,30028,55281
13277,202509,대구,6270000,닭,LBI1000088,1288297,2567663
13276,202509,대구,6270000,소,LBI1000080,1789,2965
